[03:16:32] [main/INFO]: ModLauncher running: args [--username, Farathil, --version, forge-43.2.14, --gameDir, C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack, --assetsDir, C:\Users\Owner\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 9e5332c4e06f4c85ac9213e09fe24211, --accessToken, ????????, --clientId, ZDEzMzk1ZTAtYWZhZi00NjhkLThjM2MtNjViMzVhNWMyZjE1, --xuid, 2533274940621723, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.14, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[03:16:32] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[03:16:36] [main/INFO]: Found mod file bettercombat-forge-1.7.1+1.19.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BetterCompatibilityChecker-1.0.10-build.50+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BetterF3-4.0.0-Forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file betterlily-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BetterThirdPerson-Forge-1.19-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file bettervillage-forge-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BiomesOPlenty-1.19.2-17.1.2.544.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file blockui-1.19-0.0.69-ALPHA.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file blueprint-1.19.2-6.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file boatload-1.19.2-4.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.3.20.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Botania-1.19.2-438-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file BrewinAndChewin-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file buzzier_bees-1.19-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file bwncr-forge-1.19.2-3.14.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file caelus-forge-1.19.2-3.0.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file carpeted-1.19.2-1.4.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file catalogue-1.7.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cave-enhancements-1.19.2-2.1.12-forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cc-tweaked-1.19.2-1.101.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cfm-7.0.0-pre35-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file chalk-1.19.2-1.6.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file charmofundying-forge-6.2.1+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file chat_heads-0.10.16-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file chefs-delight-1.0.2-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cherishedworlds-forge-6.0.5+1.19.4.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Chunky-1.3.38.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file citadel-2.1.4-1.19.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file clayworks-1.19.2-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file clean_tooltips-1.3-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file clickadv-1.19.2-3.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cloth-config-8.2.88-forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CNB-1.19-1.5.4.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CodeChickenLib-1.19.2-4.3.1.481-universal.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file cofh_core-1.19.2-10.2.1.40.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file collective-1.19.2-6.65.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CommonCapabilities-1.19.2-2.9.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Compat-O-Plenty-1.19.2-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Compressium-2.1.1-build.8+mc1.19.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file connectedness-2.0.1a.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file connectivity-1.19.2-4.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CorgiLib-forge-1.19.2-1.0.0.34.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file corpse-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file craftingtweaks-forge-1.19.2-15.1.7.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create-1.19.2-0.5.1.b.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Create-Guardian-Beam-Defense-1.2.3b.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create-stuff-additions1.19.2_v2.0.3b.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create_compressed_1.0.0_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Create_Deco_Casing_3.0.0_1.19.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create_enchantment_industry-1.19.2-for-create-0.5.1.b-1.2.5.b.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create_mechanical_extruder-1.19.2-1.4.1.b-30.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file create_misc_and_things_  1.19.2_3.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file createaddition-1.19.2-20230623a.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CreateCasing-1.19.2-1.3-hotfix-1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file createdeco-1.3.3-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file createendertransmission-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.4_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ctov-3.2.5.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CuriosQuarkOBP-1.19.2-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file CyclopsCore-1.19.2-1.18.6.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file DarkUtilities-Forge-1.19.2-13.1.9.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Decorative Blocks-forge-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file defaultoptions-forge-1.19-15.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file deuf-1.19.2-1.3.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file domesticationinnovation-1.6.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file domum_ornamentum-1.19-1.0.76-ALPHA-universal.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file drawerfps-1.19.2-1.8.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dungeons-and-taverns-2.0.2 forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dungeons_enhanced-1.19.2-4.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dungeons_plus-1.19.2-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file DurabilityNotifier-forge-1.19-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dusk-1.19.2-2.4.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file DustrialDecor-1.3.3-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dyed-forge-1.19.4-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file dynview-1.19.1-2.9.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file EasyAnvils-v4.0.11-1.19.2-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file eccentrictome-1.19.2-1.10.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ecologics-forge-1.19.2-2.1.11.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file effortlessbuilding-1.19.2-3.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file EnderStorage-1.19.2-2.10.1.181-universal.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file EndlessBiomes 1.4s - 1.19.2 (Server-friendly).jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file engineersdecor-1.19.2-forge-1.3.28.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ensorcellation-1.19.2-4.2.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Entity_Collision_FPS_Fix-forge-1.19-2.0.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file entityculling-forge-1.6.1-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file environmental-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file EquipmentCompare-1.19.2-forge-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file everycomp-1.19.2-2.4.12.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ExtraShieldEnchantments-1.19.2-v1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file fairylights-6.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file Fallingleaves-1.19.1-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file fancymenu_forge_2.14.7_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file farsight-1.19.2-2.1.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FastFurnace-1.19.2-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FastSuite-1.19.2-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FastWorkbench-1.19.2-7.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file firstperson-forge-2.2.3-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file FlowerPatch-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
[03:16:36] [main/INFO]: Found mod file flywheel-forge-1.19.2-0.6.8.a.jar of type MOD with provider {mods folder locator at C:\Users\Owner\curseforge\minecraft\Instances\Defaced Modpack\mods}
